# Residuals     
# Time          	p               	sigmaxx         	sigmaxy         	sigmayy         	sigmazz         
0.545           	1.72200130e-01	9.25403549e-03	7.51751967e-03	1.08851811e-02	0.00000000e+00
0.55            	1.28352067e-01	9.18648256e-03	7.47044213e-03	1.26229324e-02	0.00000000e+00
0.555           	1.55818199e-01	9.12022504e-03	7.42426117e-03	1.02551861e-02	0.00000000e+00
0.56            	1.17138654e-01	9.05520050e-03	7.37895113e-03	9.41586150e-03	0.00000000e+00
0.565           	1.47863008e-01	8.99136695e-03	7.33448744e-03	1.24440997e-02	0.00000000e+00
0.57            	2.64209798e-01	8.92868986e-03	7.29084631e-03	8.56891867e-03	0.00000000e+00
0.575           	3.29451395e-01	8.86727028e-03	7.24800587e-03	7.23579338e-03	0.00000000e+00
0.58            	1.12941338e-01	8.80683611e-03	7.20596455e-03	1.05516242e-02	0.00000000e+00
0.585           	2.26425056e-01	8.74743875e-03	7.16465879e-03	1.51250839e-02	0.00000000e+00
0.59            	6.24415795e-01	8.68907329e-03	7.12408262e-03	1.30454001e-02	0.00000000e+00
0.595           	7.84027471e-01	8.63172075e-03	7.08422219e-03	1.06584559e-02	0.00000000e+00
0.6             	1.56389099e-01	8.57487300e-03	7.04505970e-03	1.04389754e-02	0.00000000e+00
0.605           	1.53841010e-01	8.51863028e-03	7.00657754e-03	1.06414051e-02	0.00000000e+00
0.61            	1.03692456e-01	8.46344230e-03	6.96875801e-03	1.22753904e-02	0.00000000e+00
0.615           	4.39050234e-01	8.40921898e-03	6.93158368e-03	1.36092969e-02	0.00000000e+00
0.62            	7.82128921e-02	8.35591572e-03	6.89503870e-03	1.28402073e-02	0.00000000e+00
0.625           	2.17112442e-01	8.30349979e-03	6.85908659e-03	1.10551565e-02	0.00000000e+00
0.63            	5.02166607e-01	8.25195175e-03	6.82375147e-03	9.37933403e-03	0.00000000e+00
0.635           	3.86980456e-01	8.20067242e-03	6.78900377e-03	1.59822297e-02	0.00000000e+00
0.64            	1.36004923e-01	8.15021287e-03	6.75482537e-03	1.62030336e-02	0.00000000e+00
0.645           	1.99102659e-01	8.10049026e-03	6.72120074e-03	9.30762885e-03	0.00000000e+00
0.65            	1.02618015e-01	8.05154368e-03	6.68823208e-03	1.18105258e-02	0.00000000e+00
0.655           	1.16536342e-01	8.00337305e-03	6.65588825e-03	1.25303855e-02	0.00000000e+00
0.66            	2.43371180e-01	7.95596703e-03	6.62405575e-03	1.35991648e-02	0.00000000e+00
0.665           	2.07379326e-01	7.90930962e-03	6.59272106e-03	1.12143978e-02	0.00000000e+00
0.67            	2.13972924e-01	7.86319684e-03	6.56187291e-03	9.00822979e-03	0.00000000e+00
0.675           	1.11205465e-01	7.81795842e-03	6.53136057e-03	1.11892918e-02	0.00000000e+00
0.68            	3.82381537e-01	7.77356732e-03	6.50106555e-03	1.39409712e-02	0.00000000e+00
0.685           	2.45075806e-01	7.72979784e-03	6.47127711e-03	1.05416455e-02	0.00000000e+00
0.69            	3.55853853e-01	7.68667715e-03	6.44189950e-03	1.25812481e-02	0.00000000e+00
0.695           	1.40069911e-01	7.64420396e-03	6.41294644e-03	1.48976067e-02	0.00000000e+00
0.7             	2.78762662e-01	7.60244414e-03	6.38441661e-03	1.31669264e-02	0.00000000e+00
0.705           	3.60787739e-01	7.56124691e-03	6.35630296e-03	1.21617908e-02	0.00000000e+00
0.71            	2.93844844e-01	7.52064204e-03	6.32856675e-03	9.13694447e-03	0.00000000e+00
0.715           	1.04998136e-01	7.48063109e-03	6.30089198e-03	1.25168148e-02	0.00000000e+00
0.72            	5.37228668e-01	7.44120588e-03	6.27361205e-03	8.85207369e-03	0.00000000e+00
0.725           	1.24110603e-01	7.40235614e-03	6.24671822e-03	1.13191225e-02	0.00000000e+00
0.73            	1.49536513e-01	7.36392136e-03	6.22020161e-03	9.75631618e-03	0.00000000e+00
0.735           	3.47438128e-01	7.32624116e-03	6.19405327e-03	1.03314315e-02	0.00000000e+00
0.74            	1.20174111e-01	7.28907495e-03	6.16826551e-03	1.31581123e-02	0.00000000e+00
0.745           	2.43559852e-01	7.25242967e-03	6.14282992e-03	9.64513304e-03	0.00000000e+00
0.75            	5.17135503e-01	7.21629813e-03	6.11769701e-03	1.11217302e-02	0.00000000e+00
0.755           	1.94475362e-01	7.18067263e-03	6.09293235e-03	1.17354673e-02	0.00000000e+00
0.76            	2.31330492e-01	7.14554493e-03	6.06850785e-03	1.09614862e-02	0.00000000e+00
0.765           	2.18687779e-01	7.11090467e-03	6.04440854e-03	9.11541682e-03	0.00000000e+00
0.77            	1.13771627e-01	7.07674279e-03	6.02062563e-03	9.38680399e-03	0.00000000e+00
0.775           	5.09056022e-01	7.04304936e-03	5.99715085e-03	1.12955768e-02	0.00000000e+00
0.78            	2.49890981e-01	7.00969986e-03	5.97397783e-03	8.56903057e-03	0.00000000e+00
0.785           	1.42858818e-01	6.97643606e-03	5.95109985e-03	7.82919126e-03	0.00000000e+00
0.79            	2.09324558e-01	6.94355737e-03	5.92851028e-03	7.65777836e-03	0.00000000e+00
0.795           	1.22093847e-01	6.91117110e-03	5.90620306e-03	7.36150202e-03	0.00000000e+00
0.8             	1.82508229e-01	6.87923375e-03	5.88417228e-03	7.53020749e-03	0.00000000e+00
0.805           	1.00910485e-01	6.84772502e-03	5.86241202e-03	9.41946292e-03	0.00000000e+00
