time,field,initial,final
6.0,Uz,0.104602,0.00378149
7.0,Uz,0.0966699,0.00403616
8.0,Uz,0.105079,0.00366441
9.0,Uz,0.0863454,0.00300887
10.0,Uz,0.0750097,0.00320121
11.0,Uz,0.0815795,0.00336255
12.0,Uz,0.0622955,0.00230068
13.0,Uz,0.0510869,0.00181085
14.0,Uz,0.0578358,0.00228173
15.0,Uz,0.0524172,0.00186837
16.0,Uz,0.0432243,0.00139211
17.0,Uz,0.0461741,0.00166336
18.0,Uz,0.0444379,0.0015992
19.0,Uz,0.039361,0.00130619
20.0,Uz,0.0403335,0.00141794
21.0,Uz,0.0395317,0.00145311
22.0,Uz,0.0332451,0.00116666
23.0,Uz,0.0297113,0.00101502
24.0,Uz,0.0307405,0.00107116
25.0,Uz,0.0300506,0.000995176
26.0,Uz,0.0290903,0.000963339
27.0,Uz,0.0301134,0.00102213
28.0,Uz,0.0291405,0.000987119
29.0,Uz,0.0270041,0.0009417
30.0,Uz,0.0255207,0.000977542
31.0,Uz,0.0259446,0.00100769
32.0,Uz,0.0277541,0.00103893
33.0,Uz,0.0295922,0.00110631
34.0,Uz,0.0299344,0.00114895
35.0,Uz,0.0290224,0.0011531
36.0,Uz,0.0283991,0.00119884
37.0,Uz,0.0288188,0.00128735
38.0,Uz,0.029413,0.0013396
39.0,Uz,0.0304681,0.00137158
40.0,Uz,0.0318224,0.00138475
41.0,Uz,0.0333747,0.00138896
42.0,Uz,0.0349042,0.00139512
43.0,Uz,0.0363772,0.00141925
44.0,Uz,0.0384406,0.00144779
45.0,Uz,0.0409131,0.00150531
46.0,Uz,0.0440682,0.00164235
47.0,Uz,0.0469609,0.0017984
48.0,Uz,0.0492776,0.00188869
49.0,Uz,0.0503391,0.0018782
50.0,Uz,0.0500434,0.00175136
51.0,Uz,0.0486608,0.00157923
52.0,Uz,0.0467392,0.00143651
53.0,Uz,0.0438973,0.00133163
54.0,Uz,0.0402234,0.0012352
55.0,Uz,0.0362662,0.00113514
56.0,Uz,0.0330325,0.00102824
57.0,Uz,0.030267,0.000934111
58.0,Uz,0.0275296,0.00085087
59.0,Uz,0.0247985,0.000773962
60.0,Uz,0.0225027,0.000709216
61.0,Uz,0.0208334,0.000667171
62.0,Uz,0.0197219,0.000653859
63.0,Uz,0.0191336,0.000661611
64.0,Uz,0.0189425,0.000681657
65.0,Uz,0.0189792,0.000708771
66.0,Uz,0.0191309,0.000750381
67.0,Uz,0.019351,0.000800474
68.0,Uz,0.0195449,0.000841312
69.0,Uz,0.0197355,0.000862157
70.0,Uz,0.0195821,0.000849237
71.0,Uz,0.0191988,0.000818589
72.0,Uz,0.0187551,0.000776837
73.0,Uz,0.018463,0.000734899
74.0,Uz,0.0184507,0.00070288
75.0,Uz,0.0191457,0.000709354
76.0,Uz,0.0205358,0.000761102
77.0,Uz,0.0226444,0.000845499
78.0,Uz,0.025176,0.000944393
79.0,Uz,0.0277456,0.00105986
80.0,Uz,0.030479,0.0011933
81.0,Uz,0.0324275,0.00130176
82.0,Uz,0.0333832,0.00133964
83.0,Uz,0.0337872,0.00129427
84.0,Uz,0.0345689,0.00120376
85.0,Uz,0.0353412,0.00113152
86.0,Uz,0.0353562,0.00109461
87.0,Uz,0.0344479,0.00104318
88.0,Uz,0.0325805,0.000996109
89.0,Uz,0.0305861,0.000966986
90.0,Uz,0.0289739,0.000939176
91.0,Uz,0.0274895,0.000912347
92.0,Uz,0.0259927,0.000891829
93.0,Uz,0.0248831,0.000883642
94.0,Uz,0.0239985,0.000880504
95.0,Uz,0.0235311,0.000874073
96.0,Uz,0.0232545,0.000865127
97.0,Uz,0.0230143,0.000852102
98.0,Uz,0.0228311,0.000835161
99.0,Uz,0.0229746,0.000827789
100.0,Uz,0.023551,0.000842198
1.0,p,1.0,0.0429548
2.0,p,0.714849,0.0559885
3.0,p,0.0647397,0.00450366
4.0,p,0.0862202,0.0051058
5.0,p,0.281591,0.0259796
6.0,p,0.116273,0.00855029
7.0,p,0.153356,0.0131883
8.0,p,0.519348,0.038312
9.0,p,0.151095,0.0102043
10.0,p,0.188301,0.0130316
11.0,p,0.44668,0.0312504
12.0,p,0.17513,0.0126304
13.0,p,0.199557,0.012649
14.0,p,0.557133,0.039404
15.0,p,0.213338,0.0118224
16.0,p,0.228743,0.0129676
17.0,p,0.437989,0.0281034
18.0,p,0.203489,0.00904514
19.0,p,0.220472,0.0113106
20.0,p,0.391593,0.0186028
21.0,p,0.285667,0.0104237
22.0,p,0.281032,0.0139278
23.0,p,0.384044,0.0157336
24.0,p,0.253537,0.00825294
25.0,p,0.242999,0.00998882
26.0,p,0.296247,0.0104352
27.0,p,0.349582,0.0117484
28.0,p,0.329966,0.0147739
29.0,p,0.27818,0.0105123
30.0,p,0.218168,0.00586591
31.0,p,0.204573,0.00683479
32.0,p,0.208652,0.00804554
33.0,p,0.22734,0.00824113
34.0,p,0.235777,0.00971871
35.0,p,0.232696,0.0105822
36.0,p,0.21981,0.00903413
37.0,p,0.207907,0.00753383
38.0,p,0.20158,0.00720896
39.0,p,0.200214,0.0073771
40.0,p,0.210772,0.00750668
41.0,p,0.230915,0.00825966
42.0,p,0.246756,0.00928694
43.0,p,0.252861,0.0099568
44.0,p,0.259531,0.0105109
45.0,p,0.271338,0.0106841
46.0,p,0.278883,0.010267
47.0,p,0.284039,0.00987581
48.0,p,0.282738,0.00982544
49.0,p,0.28231,0.010901
50.0,p,0.280478,0.0105324
51.0,p,0.262279,0.00904151
52.0,p,0.229193,0.00769809
53.0,p,0.194188,0.00613623
54.0,p,0.172909,0.00486419
55.0,p,0.157912,0.00433929
56.0,p,0.142867,0.00417894
57.0,p,0.130563,0.00424708
58.0,p,0.123766,0.00423328
59.0,p,0.121191,0.00405801
60.0,p,0.119914,0.00394914
61.0,p,0.119148,0.00395676
62.0,p,0.117723,0.00395233
63.0,p,0.116155,0.0038955
64.0,p,0.115831,0.00389021
65.0,p,0.116875,0.00388139
66.0,p,0.119395,0.00378021
67.0,p,0.123287,0.00362349
68.0,p,0.126538,0.00358015
69.0,p,0.131187,0.0037902
70.0,p,0.135132,0.00415078
71.0,p,0.139641,0.00440851
72.0,p,0.140252,0.0045648
73.0,p,0.14132,0.00503989
74.0,p,0.143035,0.00587418
75.0,p,0.145881,0.00646133
76.0,p,0.151448,0.00665398
77.0,p,0.160608,0.00662343
78.0,p,0.175041,0.00680482
79.0,p,0.188141,0.00752672
80.0,p,0.197132,0.00790525
81.0,p,0.202494,0.00743392
82.0,p,0.205058,0.00808249
83.0,p,0.20389,0.00922497
84.0,p,0.194956,0.00833823
85.0,p,0.188098,0.00708961
86.0,p,0.177802,0.00633508
87.0,p,0.164012,0.00575008
88.0,p,0.15086,0.00508221
89.0,p,0.140507,0.00462877
90.0,p,0.134227,0.00455752
91.0,p,0.131017,0.0045508
92.0,p,0.129717,0.0043437
93.0,p,0.135167,0.00472314
94.0,p,0.136977,0.0051452
95.0,p,0.141752,0.00539025
96.0,p,0.145911,0.0055091
97.0,p,0.149476,0.00552222
98.0,p,0.152675,0.00558737
99.0,p,0.158611,0.00581384
100.0,p,0.163979,0.00602604
1.0,k,1.0,0.0417797
2.0,k,0.326778,0.0203787
3.0,k,0.163694,0.0104369
4.0,k,0.122434,0.010186
5.0,k,0.0967038,0.00952428
6.0,k,0.0846521,0.00181983
7.0,k,0.0784835,0.00204777
8.0,k,0.0710948,0.00227469
9.0,k,0.0687228,0.00255419
10.0,k,0.0716299,0.00295821
11.0,k,0.0751363,0.00330229
12.0,k,0.0785324,0.00339948
13.0,k,0.075936,0.00316573
14.0,k,0.0688231,0.0028407
15.0,k,0.0631618,0.00259476
16.0,k,0.0584491,0.00238028
17.0,k,0.054436,0.00218681
18.0,k,0.0504274,0.00196698
19.0,k,0.0450646,0.00170333
20.0,k,0.0389809,0.00143562
21.0,k,0.0354842,0.00125802
22.0,k,0.0325031,0.00113534
23.0,k,0.0302833,0.00103376
24.0,k,0.0286537,0.000952033
25.0,k,0.0271496,0.000890345
26.0,k,0.0257126,0.00083479
27.0,k,0.0245311,0.000782598
28.0,k,0.0236319,0.000735647
29.0,k,0.0232516,0.000698765
30.0,k,0.0231457,0.00066884
31.0,k,0.022997,0.000644302
32.0,k,0.0226594,0.000617293
33.0,k,0.0220484,0.000590356
34.0,k,0.0217741,0.000561703
35.0,k,0.0215936,0.000529511
36.0,k,0.0214354,0.000505461
37.0,k,0.0211488,0.000493129
38.0,k,0.0209591,0.000487241
39.0,k,0.0207251,0.000487894
40.0,k,0.0202649,0.000483266
41.0,k,0.0199643,0.00047262
42.0,k,0.0201834,0.000463978
43.0,k,0.0206733,0.00046224
44.0,k,0.0213992,0.000463315
45.0,k,0.0219566,0.00045888
46.0,k,0.0224056,0.00045396
47.0,k,0.0223472,0.000450744
48.0,k,0.0215277,0.000444337
49.0,k,0.0209506,0.000446726
50.0,k,0.020398,0.000445081
51.0,k,0.0193656,0.000429583
52.0,k,0.0181157,0.000401732
53.0,k,0.0168421,0.000370549
54.0,k,0.0156745,0.000341295
55.0,k,0.0144892,0.000319285
56.0,k,0.0135087,0.000303065
57.0,k,0.0126583,0.000285857
58.0,k,0.0121128,0.000272866
59.0,k,0.011917,0.000261286
60.0,k,0.0117934,0.000249651
61.0,k,0.0117272,0.000241575
62.0,k,0.0116708,0.000236289
63.0,k,0.0117995,0.000234016
64.0,k,0.0119348,0.000232852
65.0,k,0.0119657,0.000234397
66.0,k,0.0118753,0.000236634
67.0,k,0.0118371,0.000238712
68.0,k,0.0117501,0.000239899
69.0,k,0.0115361,0.000238994
70.0,k,0.0112235,0.00023642
71.0,k,0.0110316,0.000234536
72.0,k,0.011002,0.000231818
73.0,k,0.0109942,0.000230275
74.0,k,0.0109403,0.000229411
75.0,k,0.0109662,0.000225946
76.0,k,0.0111109,0.000220149
77.0,k,0.0111841,0.000214837
78.0,k,0.0113856,0.000213568
79.0,k,0.0115404,0.000215709
80.0,k,0.0117731,0.000218878
81.0,k,0.0119013,0.000220583
82.0,k,0.0118032,0.000217433
83.0,k,0.011679,0.000214881
84.0,k,0.0115091,0.000212199
85.0,k,0.0112987,0.00020646
86.0,k,0.0110491,0.00019355
87.0,k,0.0106846,0.000178129
88.0,k,0.010323,0.000166287
89.0,k,0.0100734,0.000162195
90.0,k,0.0100643,0.000167469
91.0,k,0.0102251,0.000181825
92.0,k,0.0104907,0.000196427
93.0,k,0.0106673,0.000208805
94.0,k,0.0107066,0.000220341
95.0,k,0.0106962,0.000230793
96.0,k,0.0106986,0.000236724
97.0,k,0.0108485,0.000237282
98.0,k,0.0111347,0.000231801
99.0,k,0.011416,0.000223092
100.0,k,0.0115798,0.000213059
