face_id,zone_id,jos3_name,area_m2,cx_m,cy_m,cz_m
8041,4,Pelvis,0.00022493365286,-0.1547615625,-0.0185424165,0.104303808
8042,4,Pelvis,0.000228484926108,-0.0684529714,-0.042104601,0.106142884
8043,4,Pelvis,0.0002603584175,-0.057416697,-0.0301306165,0.1041191955
8044,4,Pelvis,0.000154671973028,-0.01744648275,-0.0391106205,0.0681585645
8045,4,Pelvis,0.000276207852819,-0.033889796,-0.0305420642,0.0915614006
8046,4,Pelvis,0.000162032264472,-0.0191262985,-0.0361853365,0.0784929305
8047,4,Pelvis,0.000275835311591,-0.01910012475,-0.0284097545,0.09114598825
8048,4,Pelvis,0.000162032264472,0.0191262985,-0.0361853365,0.0784929305
8049,4,Pelvis,0.000275835311591,0.01910012475,-0.0284097545,0.09114598825
8050,4,Pelvis,0.000259100650148,0.0320529153333,-0.0436167463333,0.0792447181667
8051,4,Pelvis,0.000117416559194,0.04500298425,-0.03044143975,0.0978584035
8052,4,Pelvis,0.000233542641117,0.03097797025,-0.01599084695,0.1026575015
8053,8,RShoulder,0.000125317226463,0.18404454,-0.03257152575,0.06751380825
8054,8,RShoulder,0.000236850643916,0.180825356667,-0.0196576066667,0.0677890116667
8055,8,RShoulder,0.000252516490203,0.179941073333,-0.0322053251667,0.0799582161667
8056,8,RShoulder,0.000217496613085,0.179922526,-0.008545493354,0.0568664934
8057,8,RShoulder,0.000146374419758,0.17738231,-0.0058225073275,0.068741277
8058,14,RThigh,0.0002127554507,0.177731318,-0.0433388642,0.0898233992
8059,8,RShoulder,0.000115498616054,0.17321899,-0.03204782675,0.09179600325
8060,8,RShoulder,0.000244363346358,0.1682564,-0.0203018448,0.0933840844
8061,8,RShoulder,0.000149108844281,0.1760150575,-0.0180415385,0.080997235
8062,8,RShoulder,0.000126110303867,0.173888885,-0.006334291735,0.0793709595
8063,5,LShoulder,0.000248272791934,-0.167169562,0.0166092946,0.0804159638
8064,5,LShoulder,0.000221025643383,-0.16781553,0.04177632,0.068419148
8065,5,LShoulder,0.000228594301951,-0.165360652,0.0318852188,0.077998251
8066,5,LShoulder,0.000100755202782,-0.1601592325,0.01772954525,0.090894273
8067,4,Pelvis,0.000103868832511,-0.1539740925,0.01769563975,0.09685274625
8068,5,LShoulder,0.000134884599418,-0.16217972,0.0439776675,0.0799649355
8069,4,Pelvis,0.000224400254036,-0.1417448325,0.031251134,0.10281422175
8070,4,Pelvis,0.000226215585181,0.142438955,0.018828665,0.10396651225
8071,8,RShoulder,0.000103907408601,0.170856695,0.0299871985,0.066297643
8072,8,RShoulder,0.000221195848713,0.16781553,0.04177632,0.068419148
8073,8,RShoulder,0.000143802990898,0.1710375175,0.04332546625,0.05495668
8074,8,RShoulder,0.000159612586235,0.17254382,0.030883498,0.055688376
8075,8,RShoulder,0.000100755202782,0.1601592325,0.01772954525,0.090894273
8076,4,Pelvis,0.000103868832511,0.1539740925,0.01769563975,0.09685274625
8077,8,RShoulder,0.000108177853081,0.1714258775,0.004901783265,0.0783835075
8078,8,RShoulder,0.000134884599418,0.16217972,0.0439776675,0.0799649355
8079,5,LShoulder,0.000222460820857,-0.168297002,0.067044183,0.056558703
8080,5,LShoulder,0.000207797701034,-0.166415992,0.0568925222,0.0661854576
8081,5,LShoulder,0.000152740396414,-0.1633552525,0.093856865,0.068777535
8082,5,LShoulder,0.000130504152934,-0.16096696,0.05629728175,0.07933404325
8083,5,LShoulder,0.000106526260693,-0.15896514,0.09275716,0.078482996
8084,4,Pelvis,0.000129909063348,-0.14166508,0.08135843375,0.09894730775
8085,4,Pelvis,0.00020333074211,0.1398944725,0.06854357175,0.101137264
8086,4,Pelvis,0.000199436844027,0.138922052,0.0816658696,0.1010118584
8087,4,Pelvis,0.00022080321459,0.13056865,0.0918320492,0.104644968
8088,8,RShoulder,0.000202331534236,0.167610035,0.081202795,0.055359606
8089,8,RShoulder,0.000152529969964,0.163168545,0.0938189525,0.0686506365
8090,8,RShoulder,0.000130499801468,0.1609670175,0.05629720875,0.0793339505
