time_min,original_TskMean,original_TskHead,original_TskChest,original_TskLFoot,original_TcrChest,embedded_TskMean,embedded_TskHead,embedded_TskChest,embedded_TskLFoot,embedded_TcrChest,coupled_zero_flux_TskMean,coupled_zero_flux_TskHead,coupled_zero_flux_TskChest,coupled_zero_flux_TskLFoot,coupled_zero_flux_TcrChest
23.0,35.176206343788415,34.993282403304896,35.551554188577775,35.785313506407654,36.8423190879589,35.176206343788415,34.993282403304896,35.551554188577775,35.785313506407654,36.8423190879589,35.176206343788415,34.993282403304896,35.551554188577775,35.785313506407654,36.8423190879589
24.0,35.176603435376705,34.990522120015584,35.5462501269237,35.7941050992425,36.84293235436018,35.176603435376705,34.990522120015584,35.5462501269237,35.7941050992425,36.84293235436018,35.176603435376705,34.990522120015584,35.5462501269237,35.7941050992425,36.84293235436018
25.0,35.17708326001176,34.98838187130598,35.54106517287144,35.802004621710374,36.84352604294029,35.17708326001176,34.98838187130598,35.54106517287144,35.802004621710374,36.84352604294029,35.17708326001176,34.98838187130598,35.54106517287144,35.802004621710374,36.84352604294029
26.0,35.17759756119567,34.98664267067512,35.53603177607905,35.80907319060162,36.84409089368633,35.17759756119567,34.98664267067512,35.53603177607905,35.80907319060162,36.84409089368633,35.17759756119567,34.98664267067512,35.53603177607905,35.80907319060162,36.84409089368633
27.0,35.17813071383342,34.985201985585945,35.53119550356663,35.81539073936308,36.84462514327791,35.17813071383342,34.985201985585945,35.53119550356663,35.81539073936308,36.84462514327791,35.17813071383342,34.985201985585945,35.53119550356663,35.81539073936308,36.84462514327791
28.0,35.17867552216804,34.98400118631495,35.52658820392746,35.821040055225,36.84513045049026,35.17867552216804,34.98400118631495,35.52658820392746,35.821040055225,36.84513045049026,35.17867552216804,34.98400118631495,35.52658820392746,35.821040055225,36.84513045049026
29.0,35.17922583572333,34.98300086224756,35.52222270306408,35.82609942022109,36.845609625389045,35.17922583572333,34.98300086224756,35.52222270306408,35.82609942022109,36.845609625389045,35.17922583572333,34.98300086224756,35.52222270306408,35.82609942022109,36.845609625389045
30.0,35.179775195640424,34.982171373471296,35.518096294222374,35.83063975672857,36.84606554768637,35.179775195640424,34.982171373471296,35.518096294222374,35.83063975672857,36.84606554768637,35.179775195640424,34.982171373471296,35.518096294222374,35.83063975672857,36.84606554768637
31.0,34.855546129974165,34.51792590428147,35.281583436413456,35.67080053246988,36.84086225543448,34.855546129974165,34.51792590428147,35.281583436413456,35.67080053246988,36.84086225543448,34.855546129974165,34.51792590428147,35.281583436413456,35.67080053246988,36.84086225543448
32.0,34.63147390596041,34.24285230904114,35.111590445335565,35.566556115188384,36.83379484670956,34.63147390596041,34.24285230904114,35.111590445335565,35.566556115188384,36.83379484670956,34.63147390596041,34.24285230904114,35.111590445335565,35.566556115188384,36.83379484670956
