time_s,flow_m3_s,pressure_Pa
1.951038207641531130e-01,3.671188917274333672e-04,2.702301604483124102e+05
1.958689337867576263e-01,3.636672270040358212e-04,2.702279292980354512e+05
1.966340468093621396e-01,3.602100915847346644e-04,2.702257536696342868e+05
1.973991598319666529e-01,3.567579769491311032e-04,2.702236352818168234e+05
1.981642728545711662e-01,3.533213745768264526e-04,2.702215757934709545e+05
1.989293858771756796e-01,3.499107759474220274e-04,2.702195768036643276e+05
1.996944988997801929e-01,3.465366725405189256e-04,2.702176398516444024e+05
2.004596119223847062e-01,3.432095558357184622e-04,2.702157664168383926e+05
2.012247249449892195e-01,3.399399173126219521e-04,2.702139579188535572e+05
2.019898379675937328e-01,3.367380008682341417e-04,2.702122048563166754e+05
2.027549509901982461e-01,3.336066382740244174e-04,2.702104272625172161e+05
2.035200640128027594e-01,3.305401469436766173e-04,2.702086097409590147e+05
2.042851770354072727e-01,3.275323749327667530e-04,2.702067534719685209e+05
2.050502900580117860e-01,3.245771702968706192e-04,2.702048595760520548e+05
2.058154030806162993e-01,3.216683810915641731e-04,2.702029291138955159e+05
2.065805161032208126e-01,3.187998553724233721e-04,2.702009630863649072e+05
2.073456291258253259e-01,3.159654411950240651e-04,2.701989624345058110e+05
2.081107421484298392e-01,3.131589866149422636e-04,2.701969280395437963e+05
2.088758551710343525e-01,3.103743396877537623e-04,2.701948607228842448e+05
2.096409681936388658e-01,3.076053484690345727e-04,2.701927612461122335e+05
2.104060812162433791e-01,3.048458610143605979e-04,2.701906303109928849e+05
2.111711942388478924e-01,3.020897253793076867e-04,2.701884685594710172e+05
2.119363072614524057e-01,2.993307896194519050e-04,2.701862765736710862e+05
2.127014202840569190e-01,2.965633752017275021e-04,2.701840636875810451e+05
2.134665333066614323e-01,2.937845236207902323e-04,2.701818410507758381e+05
2.142316463292659456e-01,2.909922459567408225e-04,2.701796067748262431e+05
2.149967593518704589e-01,2.881845544807151716e-04,2.701773590880812844e+05
2.157618723744749722e-01,2.853594614638491241e-04,2.701750963108169963e+05
2.165269853970794856e-01,2.825149791772787957e-04,2.701728168552365969e+05
2.172920984196839989e-01,2.796491198921399767e-04,2.701705192254699068e+05
2.180572114422885122e-01,2.767598958795686745e-04,2.701682020175738726e+05
2.188223244648930255e-01,2.738453194107007336e-04,2.701658639195323340e+05
2.195874374874975388e-01,2.709034027566722155e-04,2.701635037112560822e+05
2.203525505101020521e-01,2.679321581886190190e-04,2.701611202645828016e+05
2.211176635327065654e-01,2.649295979776769344e-04,2.701587125432772445e+05
2.218827765553110787e-01,2.618937343949820232e-04,2.701562796030309401e+05
2.226478895779155920e-01,2.588226504980659180e-04,2.701538248389861546e+05
2.234130026005201053e-01,2.557188859065019052e-04,2.701514047866390320e+05
2.241781156231246186e-01,2.525920110714771193e-04,2.701490368144526728e+05
2.249432286457291319e-01,2.494522158741484686e-04,2.701467203458264121e+05
2.257083416683336452e-01,2.463096901956725901e-04,2.701444548960864777e+05
2.264734546909381585e-01,2.431746239172062835e-04,2.701422400724863401e+05
2.272385677135426718e-01,2.400572069199062401e-04,2.701400755742059555e+05
2.280036807361471851e-01,2.369676290849291242e-04,2.701379611923525808e+05
2.287687937587516984e-01,2.339160802934316542e-04,2.701358968099602498e+05
2.295339067813562117e-01,2.309127504265706568e-04,2.701338824019899475e+05
2.302990198039611691e-01,2.279678293655010616e-04,2.701319180353297270e+05
2.310641328265656824e-01,2.250915069913830022e-04,2.701300038687943597e+05
2.318292458491701957e-01,2.222939731853715707e-04,2.701281563875052379e+05
2.325943588717747090e-01,2.195854178286233771e-04,2.701264314906297368e+05
2.333594718943792223e-01,2.169715936190642165e-04,2.701247023103836109e+05
2.341245849169837356e-01,2.144209076054723827e-04,2.701226797695735586e+05
2.348896979395882489e-01,2.118830648878643186e-04,2.701203345605329960e+05
2.356548109621927622e-01,2.093076310622096162e-04,2.701176496143071563e+05
2.364199239847972756e-01,2.066441717244778405e-04,2.701146087002033601e+05
2.371850370074017889e-01,2.038422524706386921e-04,2.701111964257905493e+05
2.379501500300063022e-01,2.008514388966618173e-04,2.701073982368996949e+05
2.387152630526108155e-01,1.976212965985166996e-04,2.701032004176233895e+05
