time,field,initial,final
85.0,Uy,0.000843809,3.2864e-05
86.0,Uy,0.000731277,3.06117e-05
87.0,Uy,0.000550227,2.22125e-05
88.0,Uy,0.000396299,1.33504e-05
89.0,Uy,0.000368886,1.16286e-05
90.0,Uy,0.000370396,1.3017e-05
91.0,Uy,0.000329684,1.22911e-05
92.0,Uy,0.000248389,9.1025e-06
93.0,Uy,0.000166115,5.43882e-06
94.0,Uy,0.00014984,4.31423e-06
95.0,Uy,0.000149224,4.42034e-06
96.0,Uy,0.000136884,4.44504e-06
97.0,Uy,0.000109605,3.43293e-06
98.0,Uy,8.27634e-05,2.35793e-06
99.0,Uy,6.99773e-05,2.13498e-06
100.0,Uy,7.07269e-05,1.93213e-06
101.0,Uy,6.69302e-05,1.8228e-06
102.0,Uy,6.12861e-05,1.8106e-06
103.0,Uy,5.08539e-05,1.38478e-06
104.0,Uy,4.40632e-05,1.21143e-06
105.0,Uy,3.95738e-05,1.09531e-06
106.0,Uy,3.63484e-05,1.13623e-06
107.0,Uy,3.38778e-05,1.06e-06
1.0,Uz,1.0,0.0532902
2.0,Uz,0.262169,0.0209184
3.0,Uz,0.329227,0.0234421
4.0,Uz,0.165698,0.0136289
5.0,Uz,0.131248,0.0130155
6.0,Uz,0.171294,0.00439801
7.0,Uz,0.356198,0.020465
8.0,Uz,0.16483,0.0102566
9.0,Uz,0.166317,0.0105527
10.0,Uz,0.280718,0.0161229
11.0,Uz,0.368096,0.0141516
12.0,Uz,0.260193,0.0162008
13.0,Uz,0.220661,0.0137692
14.0,Uz,0.197161,0.00820813
15.0,Uz,0.187654,0.00725836
16.0,Uz,0.186745,0.00558314
17.0,Uz,0.19305,0.00584704
18.0,Uz,0.204353,0.00538369
19.0,Uz,0.219451,0.00467674
20.0,Uz,0.235718,0.00497576
21.0,Uz,0.219889,0.00435445
22.0,Uz,0.22255,0.00395556
23.0,Uz,0.241856,0.00379658
24.0,Uz,0.227718,0.00418174
25.0,Uz,0.18162,0.0181505
26.0,Uz,0.161195,0.0144197
27.0,Uz,0.17712,0.0137191
28.0,Uz,0.220934,0.0144992
29.0,Uz,0.251711,0.015944
30.0,Uz,0.240046,0.0139938
31.0,Uz,0.220666,0.0122241
32.0,Uz,0.201513,0.00911086
33.0,Uz,0.202917,0.00886764
34.0,Uz,0.204602,0.0100448
35.0,Uz,0.201467,0.00992851
36.0,Uz,0.191445,0.00809743
37.0,Uz,0.184278,0.00608042
38.0,Uz,0.186758,0.00535401
39.0,Uz,0.203528,0.00621231
40.0,Uz,0.206647,0.00668525
41.0,Uz,0.171735,0.00551528
42.0,Uz,0.136957,0.00376789
43.0,Uz,0.116996,0.00241524
44.0,Uz,0.114448,0.00249281
45.0,Uz,0.116644,0.00267684
46.0,Uz,0.106502,0.00263139
47.0,Uz,0.0907457,0.00244883
48.0,Uz,0.0812123,0.00180104
49.0,Uz,0.0743697,0.00145566
50.0,Uz,0.0662176,0.00150712
51.0,Uz,0.0556702,0.00135788
52.0,Uz,0.0459585,0.00108696
53.0,Uz,0.0356223,0.000821344
54.0,Uz,0.0310759,0.000668608
55.0,Uz,0.0292485,0.000678562
56.0,Uz,0.0262786,0.00068548
57.0,Uz,0.0239805,0.000654899
58.0,Uz,0.020356,0.000580647
59.0,Uz,0.0174991,0.000545596
60.0,Uz,0.0151005,0.000443857
61.0,Uz,0.0131558,0.000375627
62.0,Uz,0.0116161,0.00034141
63.0,Uz,0.010285,0.000316185
64.0,Uz,0.00906157,0.000282227
65.0,Uz,0.00837098,0.000295572
66.0,Uz,0.00773871,0.000287163
67.0,Uz,0.00688309,0.00022139
68.0,Uz,0.00543942,0.000181293
69.0,Uz,0.00466269,0.000154646
70.0,Uz,0.00432828,0.000145962
71.0,Uz,0.00405583,0.000132769
72.0,Uz,0.00359529,0.000106942
73.0,Uz,0.00290674,8.26815e-05
74.0,Uz,0.00246222,7.88616e-05
