Time,Flowrate
0.11,0.642257799671593
0.1105,0.641087848932676
0.111,0.639838259441708
0.1115,0.638509852216749
0.112,0.637101806239737
0.1125,0.635614121510673
0.113,0.634047619047619
0.1135,0.632402298850575
0.114,0.630676518883415
0.1145,0.628871921182266
0.115,0.626988505747126
0.1155,0.625024630541872
0.116,0.62298275862069
0.1165,0.620860426929392
0.117,0.618659277504105
0.1175,0.616378489326765
0.118,0.614065681444992
0.1185,0.611740558292282
0.119,0.609404761904762
0.1195,0.607059934318555
0.12,0.604705254515599
0.1205,0.602340722495895
0.121,0.599966338259442
0.1215,0.597581280788177
0.122,0.595187192118227
0.1225,0.592783251231527
0.123,0.590369458128079
0.1235,0.587945812807882
0.124,0.585511494252873
0.1245,0.583068144499179
0.125,0.580614942528736
0.1255,0.578151888341544
0.126,0.575678981937603
0.1265,0.57319540229885
0.127,0.570692939244663
0.1275,0.568169129720854
0.128,0.56562315270936
0.1285,0.563054187192118
0.129,0.560464696223317
0.1295,0.557852216748768
0.13,0.555264367816092
0.1305,0.552724958949097
0.131,0.550234811165846
0.1315,0.547793103448276
0.132,0.54540065681445
0.1325,0.543056650246305
0.133,0.540761904761905
0.1335,0.538529556650246
0.134,0.536357963875205
0.1345,0.534247947454844
0.135,0.5321986863711
0.1355,0.530211822660098
0.136,0.528285714285714
0.1365,0.52642118226601
0.137,0.524618226600985
0.1375,0.522876026272578
0.138,0.521195402298851
0.1385,0.519576354679803
0.139,0.518018883415435
0.1395,0.516522988505747
0.14,0.515087848932676
0.1405,0.513714285714286
0.141,0.512401477832512
0.1415,0.511151067323481
0.142,0.509961412151067
0.1425,0.508826765188834
0.143,0.5076986863711
0.1435,0.506564860426929
0.144,0.505426108374384
0.1445,0.50428078817734
0.145,0.503130541871921
0.1455,0.501974548440066
0.146,0.500812807881773
0.1465,0.499645320197044
0.147,0.498472085385878
0.1475,0.497293924466338
0.148,0.496109195402299
0.1485,0.494919540229885
0.149,0.493724137931034
0.1495,0.492522988505747
0.15,0.491317733990148
0.1505,0.490110016420361
0.151,0.488901477832512
0.1515,0.487690476190476
0.152,0.486486863711002
0.1525,0.485293103448276
0.153,0.484110016420361
0.1535,0.482936781609195
0.154,0.481773399014778
0.1545,0.480620689655172
0.155,0.479477832512315
0.1555,0.478345648604269
0.156,0.477223316912972
0.1565,0.476110837438424
0.157,0.475008210180624
0.1575,0.473916256157635
0.158,0.472834154351396
0.1585,0.471749589490969
0.159,0.470660098522167
0.1595,0.469564039408867
0.16,0.468461412151067
0.1605,0.467352216748768
0.161,0.46623645320197
0.1615,0.465114942528736
0.162,0.463986042692939
0.1625,0.462851395730706
0.163,0.461709359605911
0.1635,0.46056157635468
0.164,0.459407224958949
0.1645,0.458246305418719
0.165,0.457079638752052
0.1655,0.455905582922824
0.166,0.454724958949097
0.1665,0.453538587848933
0.167,0.452330870279146
0.1675,0.451110016420361
0.168,0.44987684729064
0.1685,0.448630541871921
0.169,0.447371100164204
0.1695,0.44609934318555
0.17,0.444815270935961
0.1705,0.443518062397373
0.171,0.442207717569787
0.1715,0.440885057471264
0.172,0.439509852216749
0.1725,0.438064860426929
0.173,0.436550903119869
0.1735,0.434967980295567
0.174,0.433316091954023
0.1745,0.431594417077176
0.175,0.429802134646962
0.1755,0.427936781609195
0.176,0.426026272577997
0.1765,0.424071428571429
0.177,0.422072249589491
0.1775,0.420029556650246
0.178,0.417942528735632
0.1785,0.415811165845649
0.179,0.413636288998358
0.1795,0.411416256157635
0.18,0.409152709359606
0.1805,0.406845648604269
0.181,0.404522988505747
0.1815,0.402206075533662
0.182,0.399892446633826
0.1825,0.397583743842364
0.183,0.395279967159277
0.1835,0.392980295566502
0.184,0.390686371100164
0.1845,0.388399014778325
0.185,0.386119047619048
0.1855,0.383845648604269
0.186,0.381579638752053
0.1865,0.379320197044335
0.187,0.377068144499179
0.1875,0.374822660098522
0.188,0.372584564860427
0.1885,0.370348932676519
0.189,0.368096880131363
0.1895,0.365829228243021
0.19,0.363545155993432
0.1905,0.361244663382594
0.191,0.358927750410509
0.1915,0.356595238095238
0.192,0.35426026272578
0.1925,0.351922824302135
0.193,0.349582922824302
0.1935,0.347241379310345
0.194,0.344896551724138
0.1945,0.342550082101806
0.195,0.340201149425287
0.1955,0.337850574712644
0.196,0.33549671592775
0.1965,0.333155172413793
0.197,0.330871100164204
0.1975,0.32866091954023
0.198,0.326523809523809
0.1985,0.324461412151067
0.199,0.322472906403941
0.1995,0.320557471264368
0.2,0.31871592775041
0.2005,0.316948275862069
0.201,0.315227422003284
0.2015,0.313551724137931
0.202,0.31192118226601
0.2025,0.31033579638752
0.203,0.308790640394089
0.2035,0.307284072249589
0.204,0.305817733990148
0.2045,0.304389983579639
0.205,0.303001642036125
0.2055,0.301652709359606
0.206,0.300312807881773
0.2065,0.298964696223317
0.207,0.297606732348112
0.2075,0.29623973727422
0.208,0.29486288998358
0.2085,0.293477011494253
0.209,0.29208210180624
0.2095,0.290677339901478
0.21,0.289264367816092
0.2105,0.287847290640394
0.211,0.286435960591133
0.2115,0.285029556650246
0.212,0.283628078817734
0.2125,0.282232348111658
0.213,0.280841543513957
0.2135,0.279459770114943
0.214,0.278107553366174
0.2145,0.276782430213465
0.215,0.275486863711002
0.2155,0.27421921182266
0.216,0.272980295566502
0.2165,0.271769293924466
0.217,0.270587027914614
0.2175,0.269432676518883
0.218,0.268307060755337
0.2185,0.267210180623974
0.219,0.266141215106732
0.2195,0.265100985221675
0.22,0.264089490968801
0.2205,0.263105911330049
0.221,0.262149425287356
0.2215,0.261205254515599
0.222,0.260267651888341
0.2225,0.259338259441708
0.223,0.258414614121511
0.2235,0.257498357963875
0.224,0.256589490968801
